name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi
A970,51,0.0587,1.543075,0.05900305527638191,27.354346619420085,0.059490207190954776,8.169598529368923,0.000487151914572867,0.05851472361809045,25.855223407277233,0.058595837361809046,11.053242672882124,8.111374371859437e-05,0.00971983857389439,0.010478775561600769,0.009836602037538384,0.010605957040288697,0.01201290152673911,0.012137055321041701,0.009737686557807481,0.010498490488939475,0.0018362428323683811,0.0018814151732528042
IC1860,52,0.0223,0.923447,0.022543663316582915,27.706737764435807,0.025516562010050252,7.257838688689484,0.0029728986934673372,0.022346904522613068,13.874833924199423,0.02596184992964824,8.921997803299398,0.003614945407035171,0.007305506096911744,0.006884072503520438,0.005675871018084548,0.005731146201616794,-0.2230694297163193,-0.16747736188339826,0.005474278305015816,0.005659142404316538,-0.25066405634375455,-0.1779368387792958
[YMV2007]7609,53,0.04688,0.318703,0.0466985597638191,7.386348910271521,0.047223976844221104,0.6619671352581591,0.0005254170804020047,0.045415037864321606,5.450930528927979,0.04634047505527639,1.836597619503561,0.0009254371909547809,0.008095750757058285,0.009135963923643088,0.008107187357102075,0.009084103387222103,0.001412667013472441,-0.005676525964247102,0.008138658444167515,0.00906486279358082,0.005300025704450146,-0.007782553724655524
WBL081,54,0.02192,0.945083,0.02194003391959799,45.8052091807639,0.02483734976884422,7.221675201988469,0.00289731584924623,0.02237371969849246,25.743655938800888,0.025317712159296485,12.864395994122916,0.0029439924608040263,0.009502021142383238,0.008756108711097468,0.007702775784131994,0.007439655384170865,-0.18935396283489733,-0.15034684588350683,0.007679288099770735,0.007425792938274668,-0.19182582476924864,-0.15193002013974102
[YMV2007]2116,55,0.027619,1.049948,0.028607922743718595,43.90947081344406,0.029426622934673366,8.456628470470262,0.0008187001909547714,0.03838721655276382,28.26589349072475,0.03188267956281407,21.439412978221068,-0.006504536989949752,0.008061957116641294,0.008594329185492832,0.00786510320935774,0.008639910554687066,-0.02441763264619867,0.005303656423956234,0.011727713862487454,0.0107357123520166,0.4546981201722588,0.24916233952713923
[YMV2007]4832,56,0.090357,0.849138,0.09196840201005024,8.958858983557468,0.09103527421105527,1.6917125695675606,-0.0009331277989949732,0.09118227022613065,6.390811063390396,0.09130909244221105,3.115806021878906,0.00012682221608040223,0.0074876258787155365,0.007887988688103779,0.007662485198995022,0.008154505543783507,0.02335310592594428,0.03378768228733312,0.007472544401182053,0.007859624092640953,-0.0020141868434364824,-0.003595922431481675
[YMV2007]514,57,0.055666,0.41609,0.05609143636683417,23.338510734519787,0.05597856527638191,2.3371874333634506,-0.0001128710904522573,0.055933859346733665,11.732452367333597,0.057171980060301504,3.1160460960344483,0.001238120713567839,0.00809666519800521,0.008050966880520313,0.008094784520677356,0.008053746889038793,-0.00023227801593152825,0.0003453011991896925,0.0082196535377453,0.00812401673663361,0.01518999942968993,0.009073426483723895
A978,58,0.054137,1.211795,0.05411715210552764,94.44182165002388,0.056591938190954774,13.859057978062133,0.0024747860854271372,0.053909724231155774,60.2415453071979,0.055115679396984925,20.90972274486246,0.0012059551658291506,0.010428429220276567,0.011441010670071621,0.011183496134719799,0.012023369532077771,0.07240466406725124,0.05090099806737657,0.010731910827813189,0.011662989778678573,0.02910137290346137,0.019402054154850516
WBL550,59,0.006067,0.462536,0.006129245864321608,11.714611286681016,0.015783201905025124,1.5319383104936224,0.009653956040703515,0.005966673126633165,2.84655925120436,0.017326634829648243,1.8005994502395641,0.011359961703015078,0.010710347881814358,0.010000158672991664,0.005674113355340383,0.0069459230714282085,-0.47022137675147346,-0.30541871398623976,0.006082256982145871,0.0076472003924341015,-0.43211396592698514,-0.2352920946056997
A4049,60,0.028116,0.679298,0.029299658291457288,48.62215814517831,0.030605374140703516,10.89303228663382,0.0013057158492462279,0.029135175879396985,33.4390085212919,0.031235155688442214,17.97739250531988,0.0020999798090452285,0.00708164333009358,0.007158629117568546,0.006526449182360507,0.006785028616494243,-0.07839905539633224,-0.05218883321632361,0.0062981510711779855,0.006673508175044618,-0.11063706860046585,-0.06776729658103875
NGC3258,61,0.009307,1.319658,0.009461472361809047,50.65728468865252,0.012257410362814069,8.927378245410532,0.002795938001005022,0.010885321608040201,51.184040099383864,0.018589275417085424,31.75779305237918,0.007703953809045223,0.008168044884845661,0.0077205412409697,0.0063221953357218835,0.006238823792816849,-0.22598425634859326,-0.19191885671045875,0.005552449122916648,0.006358101271239025,-0.3202229907896051,-0.17646948927631823
A1631,63,0.046422,1.323506,0.04540638190954774,64.03581766429339,0.04646384923618091,21.66428184059447,0.0010574673266331713,0.04580133165829146,61.9877101336644,0.046024817587939706,24.879424277527384,0.0002234859296482497,0.00846563994233326,0.00837539055158389,0.008552621893774875,0.008490248577884036,0.010274704810755398,0.013713751686293088,0.008473105708216534,0.008388693781074184,0.0008818903159275742,0.0015883712417181848
